extension;numero;type;nom;titre;cout vert;cout jaune;cout rouge;defense;attaque;trait;effet;nom personnage;caracteristique1;caracteristique2;caracteristique3;caracteristique4
Shaman King;DAS001;chamber;DAS001.bmp;Hunter's Pride;;;;6;5;;Effet 280;duncan;shadow;body;bull;
Shaman King;DAS001v;chamber;DAS001v.bmp;Dark Solstice;;1;1;8;6;;Effet 281;duncan;shadow;body;bull;
Shaman King;DAS002;chamber;DAS002.bmp;Hunter's Pride;;;;6;5;;Effet 280;duncan;shadow;body;bull;
Shaman King;DAS002v;chamber;DAS002v.bmp;Dark Solstice;;1;1;8;6;;Effet 281;duncan;shadow;body;bull;
Shaman King;DAS003;chamber;DAS003.bmp;Hunter's Pride;;;;6;5;;Effet 280;duncan;shadow;body;bull;
Shaman King;DAS003v;chamber;DAS003v.bmp;Cyclone of Perdition;;1;1;6;7;;Effet 282;duncan;shadow;body;bull;
Shaman King;DAS004;chamber;DAS004.bmp;Gethsemane;;1;;5;6;;Effet 283;duncan;shadow;body;bull;
Shaman King;DAS004v;chamber;DAS004v.bmp;Dark Solstice;;1;1;8;6;;Effet 281;duncan;shadow;body;bull;
Shaman King;DAS005;chamber;DAS005.bmp;Gethsemane;;1;;5;6;;Effet 283;duncan;shadow;body;bull;
Shaman King;DAS005v;chamber;DAS005v.bmp;Cyclone of Perdition;;1;1;6;7;;Effet 282;duncan;shadow;body;bull;
Shaman King;DAS006;chamber;DAS006.bmp;Gethsemane;;1;;5;6;;Effet 283;duncan;shadow;body;bull;
Shaman King;DAS006v;chamber;DAS006v.bmp;Besiege;;3;;5;8;;Effet 284;duncan;shadow;body;bull;
Shaman King;DAS007;chamber;DAS007.bmp;Maiden Voyage;;;1;5;5;;Effet 285;jeanne;shadow;spirit;lion;
Shaman King;DAS007v;chamber;DAS007v.bmp;Angry Chair;;;1;6;6;;Effet 286;jeanne;shadow;spirit;lion;
Shaman King;DAS008;chamber;DAS008.bmp;Maiden Voyage;;;1;5;5;;Effet 285;jeanne;shadow;spirit;lion;
Shaman King;DAS008v;chamber;DAS008v.bmp;Angry Chair;;;1;6;6;;Effet 286;jeanne;shadow;spirit;lion;
Shaman King;DAS009;chamber;DAS009.bmp;Maiden Voyage;;;1;5;5;;Effet 285;jeanne;shadow;spirit;lion;
Shaman King;DAS009v;chamber;DAS009v.bmp;Cage of Penitence;;;1;7;7;;Effet 287;jeanne;shadow;spirit;lion;
Shaman King;DAS010;chamber;DAS010.bmp;Mash's Splendor;;;1;5;6;;Effet 288;jeanne;shadow;spirit;lion;
Shaman King;DAS010v;chamber;DAS010v.bmp;Angry Chair;;;1;6;6;;Effet 286;jeanne;shadow;spirit;lion;
Shaman King;DAS011;chamber;DAS011.bmp;Mash's Splendor;;;1;5;6;;Effet 288;jeanne;shadow;spirit;lion;
Shaman King;DAS011v;chamber;DAS011v.bmp;Cage of Penitence;;;1;7;7;;Effet 287;jeanne;shadow;spirit;lion;
Shaman King;DAS012;chamber;DAS012.bmp;Mash's Splendor;;;1;5;6;;Effet 288;jeanne;shadow;spirit;lion;
Shaman King;DAS012v;chamber;DAS012v.bmp;Wrath of Babylon;;;1;7;7;;Effet 289;jeanne;shadow;spirit;lion;
Shaman King;DAS013;chamber;DAS013.bmp;Rocket Kick;;1;;5;5;;Effet 290;jun;light;body;lion;
Shaman King;DAS013v;chamber;DAS013v.bmp;Stir the Shadows;;;2;5;7;;Effet 123;jun;light;body;lion;
Shaman King;DAS014;chamber;DAS014.bmp;Rocket Kick;;1;;5;5;;Effet 290;jun;light;body;lion;
Shaman King;DAS014v;chamber;DAS014v.bmp;Stir the Shadows;;;2;5;7;;Effet 123;jun;light;body;lion;
Shaman King;DAS015;chamber;DAS015.bmp;Rocket Kick;;1;;5;5;;Effet 290;jun;light;body;lion;
Shaman King;DAS015v;chamber;DAS015v.bmp;Fojan Kick;;1;1;8;7;;Effet 290;jun;light;body;lion;
Shaman King;DAS016;chamber;DAS016.bmp;Rocket Punch;1;;1;7;6;;;jun;light;body;lion;
Shaman King;DAS016v;chamber;DAS016v.bmp;Stir the Shadows;;;2;5;7;;Effet 123;jun;light;body;lion;
Shaman King;DAS017;chamber;DAS017.bmp;Rocket Punch;1;;1;7;6;;;jun;light;body;lion;
Shaman King;DAS017v;chamber;DAS017v.bmp;Fojan Kick;;1;1;8;7;;Effet 290;jun;light;body;lion;
Shaman King;DAS018;chamber;DAS018.bmp;Rocket Punch;1;;1;7;6;;;jun;light;body;lion;
Shaman King;DAS018v;chamber;DAS018v.bmp;Daodando Kick;;1;2;7;9;;;jun;light;body;lion;
Shaman King;DAS019;chamber;DAS019.bmp;Sky to Ground Power Dive;;;;4;1;;Effet 291;len;light;mind;bull;
Shaman King;DAS019v;chamber;DAS019v.bmp;Super Bujin;;1;;5;1;;Effet 292;len;light;mind;bull;
Shaman King;DAS020;chamber;DAS020.bmp;Sky to Ground Power Dive;;;;4;1;;Effet 291;len;light;mind;bull;
Shaman King;DAS020v;chamber;DAS020v.bmp;Super Bujin;;1;;5;1;;Effet 292;len;light;mind;bull;
Shaman King;DAS021;chamber;DAS021.bmp;Sky to Ground Power Dive;;;;4;1;;Effet 291;len;light;mind;bull;
Shaman King;DAS021v;chamber;DAS021v.bmp;Rapid Tempo Assault;;;;6;6;;Effet 293;len;light;mind;bull;
Shaman King;DAS022;chamber;DAS022.bmp;Golden Punch;1;;;5;5;;Effet 86;len;light;mind;bull;
Shaman King;DAS022v;chamber;DAS022v.bmp;Super Bujin;;1;;5;1;;Effet 292;len;light;mind;bull;
Shaman King;DAS023;chamber;DAS023.bmp;Golden Punch;1;;;5;5;;Effet 86;len;light;mind;bull;
Shaman King;DAS023v;chamber;DAS023v.bmp;Rapid Tempo Assault;;;;6;6;;Effet 293;len;light;mind;bull;
Shaman King;DAS024;chamber;DAS024.bmp;Golden Punch;1;;;5;5;;Effet 86;len;light;mind;bull;
Shaman King;DAS024v;chamber;DAS024v.bmp;Black Raven in White Phoenix;;1;;7;7;;Effet 294;len;light;mind;bull;
Shaman King;DAS025;chamber;DAS025.bmp;Hand Plant Barrage;2;;;5;5;;Effet 295;lola;dark;mind;fox;
Shaman King;DAS025v;chamber;DAS025v.bmp;Goodnight Kiss;;2;;7;6;;Effet 296;lola;dark;mind;fox;
Shaman King;DAS026;chamber;DAS026.bmp;Hand Plant Barrage;2;;;5;5;;Effet 295;lola;dark;mind;fox;
Shaman King;DAS026v;chamber;DAS026v.bmp;Goodnight Kiss;;2;;7;6;;Effet 296;lola;dark;mind;fox;
Shaman King;DAS027;chamber;DAS027.bmp;Hand Plant Barrage;2;;;5;5;;Effet 295;lola;dark;mind;fox;
Shaman King;DAS027v;chamber;DAS027v.bmp;Shooting Star;;;;0;6;;Effet 297;lola;dark;mind;fox;
Shaman King;DAS028;chamber;DAS028.bmp;Evil Ollie;;;;6;5;;Effet 298;lola;dark;mind;fox;
Shaman King;DAS028v;chamber;DAS028v.bmp;Goodnight Kiss;;2;;7;6;;Effet 296;lola;dark;mind;fox;
Shaman King;DAS029;chamber;DAS029.bmp;Evil Ollie;;;;6;5;;Effet 298;lola;dark;mind;fox;
Shaman King;DAS029v;chamber;DAS029v.bmp;Shooting Star;;;;0;6;;Effet 297;lola;dark;mind;fox;
Shaman King;DAS030;chamber;DAS030.bmp;Evil Ollie;;;;6;5;;Effet 298;lola;dark;mind;fox;
Shaman King;DAS030v;chamber;DAS030v.bmp;Engulfing Helix;1;;1;0;0;;Effet 299;lola;dark;mind;fox;
Shaman King;DAS031;chamber;DAS031.bmp;Ricochet Riot;;1;;9;1;;Effet 300;lyserg;shadow;mind;fox;
Shaman King;DAS031v;chamber;DAS031v.bmp;X-terminate;1;;1;10;5;;Effet 301;lyserg;shadow;mind;fox;
Shaman King;DAS032;chamber;DAS032.bmp;Ricochet Riot;;1;;9;1;;Effet 300;lyserg;shadow;mind;fox;
Shaman King;DAS032v;chamber;DAS032v.bmp;X-terminate;1;;1;10;5;;Effet 301;lyserg;shadow;mind;fox;
Shaman King;DAS033;chamber;DAS033.bmp;Ricochet Riot;;1;;9;1;;Effet 300;lyserg;shadow;mind;fox;
